GEOID,NAME,total_households,renter_households,pct_renter
01001,"Autauga County, Alabama",24457,5476,0.22390317700453857
01003,"Baldwin County, Alabama",125113,20094,0.16060681144245603
01005,"Barbour County, Alabama",11673,3158,0.27053885033838776
01007,"Bibb County, Alabama",9046,1751,0.19356621711253594
01009,"Blount County, Alabama",24677,4482,0.18162661587713255
01011,"Bullock County, Alabama",4541,1219,0.26844307421272845
01013,"Butler County, Alabama",9835,2084,0.21189628876461616
01015,"Calhoun County, Alabama",53167,12999,0.2444937649293735
01017,"Chambers County, Alabama",16427,3657,0.22262129421075058
01019,"Cherokee County, Alabama",14687,2025,0.13787703411179955
01021,"Chilton County, Alabama",19546,4231,0.21646372659367646
01023,"Choctaw County, Alabama",7138,942,0.1319697394228075
01025,"Clarke County, Alabama",11733,2272,0.19364186482570528
01027,"Clay County, Alabama",7040,1188,0.16875
01029,"Cleburne County, Alabama",6818,1265,0.18553828102082723
01031,"Coffee County, Alabama",24155,6218,0.25742082384599463
01033,"Colbert County, Alabama",27709,6746,0.2434588039987008
01035,"Conecuh County, Alabama",6451,1127,0.17470159665168192
01037,"Coosa County, Alabama",6045,750,0.12406947890818859
01039,"Covington County, Alabama",18644,3552,0.19051705642565972
01041,"Crenshaw County, Alabama",6553,1230,0.18770028994353732
01043,"Cullman County, Alabama",39182,8009,0.20440508396712775
01045,"Dale County, Alabama",22829,7731,0.3386482106093127
01047,"Dallas County, Alabama",18992,5693,0.29975779275484415
01049,"DeKalb County, Alabama",30716,6716,0.2186482614923818
01051,"Elmore County, Alabama",36787,7372,0.20039687933237285
01053,"Escambia County, Alabama",16715,4278,0.2559377804367335
01055,"Etowah County, Alabama",47412,10337,0.21802497258078124
01057,"Fayette County, Alabama",7816,1484,0.18986693961105425
01059,"Franklin County, Alabama",13940,3008,0.2157819225251076
01061,"Geneva County, Alabama",12494,2521,0.2017768528893869
01063,"Greene County, Alabama",4271,760,0.17794427534535237
01065,"Hale County, Alabama",7464,1216,0.16291532690246516
01067,"Henry County, Alabama",9110,1232,0.13523600439077937
01069,"Houston County, Alabama",49339,14347,0.2907841666835566
01071,"Jackson County, Alabama",24706,4937,0.19983000080951996
01073,"Jefferson County, Alabama",308428,95438,0.30943364415682106
01075,"Lamar County, Alabama",7104,1310,0.18440315315315314
01077,"Lauderdale County, Alabama",44705,12422,0.2778660105133654
01079,"Lawrence County, Alabama",15270,2638,0.1727570399476097
01081,"Lee County, Alabama",75473,22649,0.30009407337723426
01083,"Limestone County, Alabama",42616,8604,0.20189600150178336
01085,"Lowndes County, Alabama",4823,901,0.18681318681318682
01087,"Macon County, Alabama",9662,2642,0.2734423514800248
01089,"Madison County, Alabama",171313,51024,0.2978407943355145
01091,"Marengo County, Alabama",9834,2341,0.23805165751474477
01093,"Marion County, Alabama",14143,2987,0.2111998868698296
01095,"Marshall County, Alabama",41328,8847,0.21406794425087108
01097,"Mobile County, Alabama",184845,58271,0.3152425004733696
01099,"Monroe County, Alabama",10214,2013,0.1970824358723321
01101,"Montgomery County, Alabama",105488,38372,0.363757015015926
01103,"Morgan County, Alabama",53324,13082,0.24533043282574452
01105,"Perry County, Alabama",3985,918,0.23036386449184443
01107,"Pickens County, Alabama",8714,1830,0.2100068854716548
01109,"Pike County, Alabama",16049,4435,0.27634120505950527
01111,"Randolph County, Alabama",12412,1812,0.14598775378665807
01113,"Russell County, Alabama",27382,9111,0.33273683441677016
01115,"St. Clair County, Alabama",38133,6180,0.16206435370938557
01117,"Shelby County, Alabama",89612,15966,0.17816810248627415
01119,"Sumter County, Alabama",6329,1474,0.23289619213145837
01121,"Talladega County, Alabama",38088,9084,0.23850031505986138
01123,"Tallapoosa County, Alabama",22777,4029,0.17688896694033454
01125,"Tuscaloosa County, Alabama",101330,31951,0.3153162932991217
01127,"Walker County, Alabama",30127,5566,0.1847512198360275
01129,"Washington County, Alabama",7779,638,0.08201568324977504
01131,"Wilcox County, Alabama",5314,735,0.13831388784343243
01133,"Winston County, Alabama",13091,1981,0.151325338018486
02013,"Aleutians East Borough, Alaska",1089,370,0.3397612488521579
02016,"Aleutians West Census Area, Alaska",1403,701,0.49964362081254454
02020,"Anchorage Municipality, Alaska",118938,38778,0.3260354134086667
02050,"Bethel Census Area, Alaska",6003,1872,0.3118440779610195
02060,"Bristol Bay Borough, Alaska",875,140,0.16
02063,"Chugach Census Area, Alaska",3760,1030,0.27393617021276595
02066,"Copper River Census Area, Alaska",2564,340,0.13260530421216848
02068,"Denali Borough, Alaska",1385,69,0.049819494584837545
02070,"Dillingham Census Area, Alaska",2417,543,0.22465866776996277
02090,"Fairbanks North Star Borough, Alaska",42772,14330,0.33503226409800807
02100,"Haines Borough, Alaska",1410,238,0.16879432624113475
02105,"Hoonah-Angoon Census Area, Alaska",1708,221,0.12939110070257612
02110,"Juneau City and Borough, Alaska",14073,4652,0.33056206921054504
02122,"Kenai Peninsula Borough, Alaska",32567,5393,0.1655970767955292
02130,"Ketchikan Gateway Borough, Alaska",6615,1912,0.2890400604686319
02150,"Kodiak Island Borough, Alaska",5798,1915,0.3302863056226285
02158,"Kusilvak Census Area, Alaska",2335,542,0.23211991434689508
02164,"Lake and Peninsula Borough, Alaska",1380,107,0.07753623188405798
02170,"Matanuska-Susitna Borough, Alaska",50491,9247,0.1831415499792042
02180,"Nome Census Area, Alaska",4116,1041,0.2529154518950437
02185,"North Slope Borough, Alaska",2625,1156,0.4403809523809524
02188,"Northwest Arctic Borough, Alaska",2726,693,0.25421863536316947
02195,"Petersburg Borough, Alaska",1792,334,0.18638392857142858
02198,"Prince of Wales-Hyder Census Area, Alaska",3252,639,0.19649446494464945
02220,"Sitka City and Borough, Alaska",4138,1228,0.2967617206379894
02230,"Skagway Municipality, Alaska",631,141,0.22345483359746435
02240,"Southeast Fairbanks Census Area, Alaska",3537,547,0.154650834040147
02275,"Wrangell City and Borough, Alaska",1350,323,0.23925925925925925
02282,"Yakutat City and Borough, Alaska",420,102,0.24285714285714285
02290,"Yukon-Koyukuk Census Area, Alaska",4018,574,0.14285714285714285
04001,"Apache County, Arizona",29032,3948,0.13598787544778176
04003,"Cochise County, Arizona",59056,14798,0.25057572473584394
04005,"Coconino County, Arizona",69233,21288,0.3074834255340661
04007,"Gila County, Arizona",32519,5536,0.1702389372366924
04009,"Graham County, Arizona",13755,3194,0.2322064703744093
04011,"Greenlee County, Arizona",4409,1447,0.32819233386255386
04012,"La Paz County, Arizona",13692,2819,0.2058866491381829
04013,"Maricopa County, Arizona",1821463,594506,0.32638928158299124
04015,"Mohave County, Arizona",118073,26102,0.22106662827234
04017,"Navajo County, Arizona",56556,10402,0.18392389843694745
04019,"Pima County, Arizona",471058,151698,0.3220367767875718
04021,"Pinal County, Arizona",175474,30833,0.17571264118900806
04023,"Santa Cruz County, Arizona",18811,5461,0.29030886183615967
04025,"Yavapai County, Arizona",121829,28649,0.23515747482126587
04027,"Yuma County, Arizona",92808,23103,0.248933281613654
05001,"Arkansas County, Arkansas",8717,2214,0.2539864632327636
05003,"Ashley County, Arkansas",9432,1847,0.19582273112807463
05005,"Baxter County, Arkansas",22747,4879,0.2144898228337803
05007,"Benton County, Arkansas",114425,33497,0.29274197072318114
05009,"Boone County, Arkansas",17354,4532,0.26115016710844763
05011,"Bradley County, Arkansas",5112,1258,0.24608763693270735
05013,"Calhoun County, Arkansas",2476,203,0.08198707592891762
05015,"Carroll County, Arkansas",13858,2675,0.1930292971568769
05017,"Chicot County, Arkansas",5131,1285,0.2504385110114987
05019,"Clark County, Arkansas",10039,2991,0.2979380416376133
05021,"Clay County, Arkansas",7514,1608,0.21400053233963268
05023,"Cleburne County, Arkansas",15619,2266,0.1450797106088738
