cbsa_code,cbsa_name,cbsa_name_full,cbsa_type,is_metropolitan,is_micropolitan,lsad_code,aland,awater,intptlat,intptlon,hcv_25,hcv_occupied,hcv_pct_occupied,hcv_reported,hcv_pct_reported,hcv_months_since_report,hcv_pct_movein,hcv_people_per_unit,hcv_people_total,hcv_rent_per_month,hcv_spending_per_month,hcv_hh_income,hcv_person_income,hcv_pct_lt80_median,hcv_pct_lt50_median,hcv_pct_lt30_median,hcv_months_waiting,hcv_months_from_movein,hcv_pct_utility_allow,hcv_ave_util_allow,hcv_pct_overhoused,median_hh_income,median_gross_rent,poverty_rate,unemployment_rate,ba_plus_share,pop_65plus_share,minority_share,rent_burdened_share,severe_rent_burdened_share,hcv_median_gross_rent,hcv_median_hh_income,hcv_high_poverty_rate_share,high_poverty_rate_share,aqv_30,aqv_50,aqv_80,aqv_100,aqv_all,pvn_30,pvn_50,pvn_80,pvn_100,pvn_all,vng_30,vng_50,vng_80,vng_100,vng_all,em_30,em_50,em_80,em_100,em_all,recap_share,rcaa_share,hcv_coi_idx,hcv_coi_edu,hcv_coi_health_env,hcv_coi_eco,renter_coi_idx,renter_coi_edu,renter_coi_health_env,renter_coi_eco
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",Micropolitan Statistical Area,False,True,M2,7353004125,111384253,45.5194353,-98.7007003,569.0,383.0,67.0,440.0,100.0,6.0,18.0,1.7,750.0,360.0,598.0,14801.0,8683.0,100.0,100.0,88.0,22.0,66.0,46.0,131.0,21.0,71488.0,783.0,0.1154696947352897,0.0309880506509719,0.3322065592635213,0.1826833631484794,0.1442576028622539,0.4212224412977236,0.2297902849973113,741.7323943661971,62650.394366197186,0.1,0.1,283.0,493.0,583.0,,584.0,1188.0,2557.0,3762.0,4531.0,5735.0,620.0,1989.0,3194.0,3963.0,5167.0,337.0,1496.0,2611.0,,4583.0,0.0,0.0,47.65845070422535,46.24647887323944,51.13732394366197,46.892605633802816,49.72711421098518,48.054054054054056,48.71316477768091,49.90671316477768
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",Micropolitan Statistical Area,False,True,M2,4924743560,834361384,47.1120838,-123.8267247,669.0,593.0,89.0,611.0,100.0,5.0,12.0,1.7,1067.0,406.0,652.0,17188.0,9842.0,99.0,94.0,79.0,19.0,73.0,65.0,137.0,6.0,64414.0,1062.0,0.153140513706022,0.0700666708206118,0.1815084213128067,0.2333458788106887,0.2395883353016754,0.4463676255485129,0.2103851779619697,953.0974512743628,57510.27736131934,0.1875,0.25,39.0,84.0,158.0,,168.0,2110.0,4000.0,5825.0,6748.0,8495.0,1443.0,3333.0,5158.0,6081.0,7828.0,1404.0,3249.0,5000.0,,7660.0,0.0,0.0,26.95352323838081,15.050974512743627,73.26686656671664,25.253373313343328,32.04473219540906,18.56032960565038,61.07416127133608,33.489699823425546
10180,"Abilene, TX","Abilene, TX Metro Area",Metropolitan Statistical Area,True,False,M1,7105668291,36756436,32.4520222,-99.7187428,1830.0,1521.0,83.0,1686.0,100.0,7.0,18.0,2.0,3417.0,394.0,825.0,15406.0,7601.0,100.0,97.0,73.0,14.0,62.0,94.0,138.0,20.0,67328.0,1141.0,0.1419776174785525,0.0301594400860662,0.2656296347996021,0.1554919959203583,0.3805208194758547,0.4634586339989931,0.2114868266487665,1071.3786681715576,54190.53314606741,0.3095238095238095,0.2916666666666667,65.0,390.0,848.0,,843.0,4718.0,8781.0,13500.0,16503.0,24239.0,2938.0,7001.0,11720.0,14723.0,22459.0,2873.0,6611.0,10872.0,,21616.0,0.0387640449438202,0.0,26.525280898876403,38.18707865168539,15.213483146067416,27.6,34.149552374272865,44.38817607987128,18.275795206072857,35.50220718676513
10220,"Ada, OK","Ada, OK Micro Area",Micropolitan Statistical Area,False,True,M2,1865705448,12725534,34.7214206,-96.6918036,124.0,81.0,65.0,74.0,91.0,6.0,11.0,2.0,147.0,395.0,539.0,16267.0,8189.0,100.0,100.0,66.0,10.0,72.0,81.0,169.0,32.0,63017.0,889.0,0.1257422001511389,0.036568675754092,0.302847863112449,0.1701059238917222,0.372852098862299,0.343895800933126,0.1638802488335925,824.328,45033.704,0.3333333333333333,0.1818181818181818,108.0,413.0,452.0,,469.0,990.0,1900.0,3280.0,3855.0,5075.0,865.0,1775.0,3155.0,3730.0,4950.0,757.0,1362.0,2703.0,,4481.0,0.0,0.0,22.896,43.64,5.168,26.768,29.101477832512316,46.06206896551724,7.916256157635468,33.035467980295564
10300,"Adrian, MI","Adrian, MI Micro Area",Micropolitan Statistical Area,False,True,M2,1941553343,30470381,41.8960225,-84.0743563,194.0,170.0,88.0,177.0,100.0,5.0,13.0,1.8,313.0,386.0,891.0,15050.0,8511.0,100.0,98.0,77.0,28.0,112.0,73.0,135.0,18.0,70518.0,987.0,0.1071325594557939,0.0472368869209809,0.2266931754332886,0.2034547579129197,0.1522328913275416,0.4143702025921731,0.2063671825846231,988.8489583333334,57592.66321243523,0.2,0.12,39.0,234.0,334.0,,414.0,1590.0,3125.0,5250.0,6194.0,8250.0,1397.0,2932.0,5057.0,6001.0,8057.0,1358.0,2698.0,4723.0,,7643.0,0.0,0.0,32.20725388601036,36.196891191709845,52.32124352331606,27.849740932642487,39.39636363636364,43.24848484848485,52.48848484848485,35.14848484848485
10380,"Aguadilla, PR","Aguadilla, PR Metro Area",Metropolitan Statistical Area,True,False,M1,769374621,354393993,18.391555,-67.0972023,1365.0,1129.0,83.0,1180.0,100.0,6.0,8.0,2.3,2683.0,155.0,610.0,6070.0,2670.0,98.0,88.0,70.0,15.0,143.0,96.0,106.0,25.0,22398.0,528.0,0.4568089614046048,0.1135737138681929,0.2430576698967968,0.2378370649285654,0.988100202963828,0.2122771899723572,0.1033266609474787,472.8306010928962,19817.88524590164,1.0,1.0,110.0,230.0,460.0,,890.0,9560.0,13885.0,19360.0,22024.0,31185.0,9377.0,13702.0,19177.0,21841.0,31002.0,9267.0,13472.0,18717.0,,30112.0,0.0,0.0,,,,,,,,
10420,"Akron, OH","Akron, OH Metro Area",Metropolitan Statistical Area,True,False,M1,2331510400,62132699,41.1466395,-81.3501104,7369.0,6673.0,91.0,5264.0,79.0,7.0,9.0,2.0,10683.0,400.0,540.0,14166.0,6980.0,100.0,98.0,84.0,56.0,105.0,85.0,176.0,34.0,72371.0,1033.0,0.1255814157519253,0.0513036437246963,0.3505028725412693,0.1919193506901775,0.2367022948758251,0.46060183276786,0.2460073352992781,976.0485912617396,51442.00707098178,0.2828947368421052,0.2443181818181818,374.0,2106.0,2906.0,,3493.0,25604.0,42531.0,63082.0,71774.0,94275.0,18250.0,35177.0,55728.0,64420.0,86921.0,17876.0,33071.0,52822.0,,83428.0,0.0633668751699755,0.0002719608376393,27.515637748164263,28.7368778895839,50.4129725319554,24.797117215121023,43.213683373110584,43.603341288782815,57.97024661893397,40.266401485017234
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",Micropolitan Statistical Area,False,True,M2,17126455957,36944199,32.6155988,-105.7513079,271.0,147.0,54.0,149.0,100.0,7.0,3.0,2.0,295.0,422.0,683.0,14962.0,7557.0,99.0,95.0,68.0,11.0,91.0,95.0,182.0,46.0,55876.0,962.0,0.1926355996944232,0.0856463124504361,0.2274046117934509,0.1754969774471053,0.5451784468728202,0.417079207920792,0.1819306930693069,885.1703296703297,50988.65240641711,0.3333333333333333,0.3333333333333333,15.0,269.0,509.0,,680.0,1174.0,2869.0,4619.0,5594.0,8190.0,903.0,2598.0,4348.0,5323.0,7919.0,888.0,2329.0,3839.0,,7239.0,0.0,0.0,13.47970479704797,14.269372693726938,24.907749077490777,15.985239852398523,19.553724053724057,11.583638583638583,29.475579975579976,24.64163614163614
10480,"Alamosa, CO","Alamosa, CO Micro Area",Micropolitan Statistical Area,False,True,M2,8385519224,19734373,37.3226399,-105.7742419,88.0,67.0,77.0,76.0,100.0,9.0,8.0,1.8,138.0,359.0,1408.0,14065.0,7746.0,100.0,97.0,86.0,30.0,97.0,59.0,145.0,26.0,51237.0,882.0,0.1618058926770977,0.0394587648348325,0.2937762546982091,0.1834547947182336,0.555920340572913,0.3369835739173718,0.1732205077152812,900.8941176470588,56266.31764705882,0.2857142857142857,0.3333333333333333,8.0,31.0,70.0,,110.0,1100.0,1935.0,2855.0,3107.0,3780.0,1015.0,1850.0,2770.0,3022.0,3695.0,1007.0,1819.0,2700.0,,3585.0,0.0,0.0,28.423529411764704,31.235294117647054,52.34117647058824,24.36470588235294,26.736772486772487,31.04100529100529,50.948412698412696,22.61904761904762
10500,"Albany, GA","Albany, GA Metro Area",Metropolitan Statistical Area,True,False,M1,4120596069,46238444,31.6446859,-84.1107184,1264.0,789.0,62.0,938.0,100.0,6.0,8.0,2.4,2241.0,342.0,1371.0,14169.0,5931.0,99.0,94.0,76.0,16.0,142.0,98.0,168.0,39.0,56906.0,950.0,0.2094025896541682,0.0758466873405539,0.2308365058133553,0.1720267364297552,0.6024873645714912,0.4442992356738347,0.2630390875608887,911.8991192954364,45220.28218243819,0.6666666666666666,0.5957446808510638,442.0,1192.0,1681.0,,1726.0,6278.0,10307.0,13842.0,16376.0,24675.0,5029.0,9058.0,12593.0,15127.0,23426.0,4587.0,7866.0,10912.0,,21700.0,0.2970376301040832,0.0,12.309047237790232,21.99119295436349,17.824659727782226,11.399519615692554,18.76231003039514,27.806686930091185,21.53758865248227,17.775683890577508
